,Date,Action,Type,ADBE_Shares,ORCL_Shares,ADBE_Price,ORCL_Price
93,2022-07-25,Close Position,upper,127.56403992760679,667.9134329727223,391.9599914550781,74.86000061035156
94,2022-07-26,Open Position,lower,131.83567661378004,675.4018752460513,379.260009765625,74.02999877929688
95,2022-07-28,Close Position,lower,123.91573729863693,649.0134917680477,403.5,77.04000091552734
96,2022-07-29,Open Position,upper,121.91553836752831,642.3432984626338,410.1199951171875,77.83999633789062
97,2022-08-17,Close Position,upper,114.20218163527989,630.9148264984227,437.82000732421875,79.25
98,2022-08-19,Open Position,lower,117.63045284708917,635.6470591430326,425.05999755859375,78.66000366210938
99,2022-09-07,Close Position,lower,131.67597134536692,671.2310569728049,379.7200012207031,74.48999786376953
100,2022-09-08,Open Position,upper,130.33391383260937,669.7923506761953,383.6300048828125,74.6500015258789
101,2022-09-13,Close Position,upper,135.725720057087,657.548650683801,368.3900146484375,76.04000091552734
102,2022-09-15,Open Position,lower,161.7442474371079,711.8451241552568,309.1300048828125,70.23999786376953
103,2022-10-03,Close Position,lower,175.29098903318632,792.6442382470681,285.239990234375,63.08000183105469
104,2022-10-04,Open Position,upper,169.50876290158362,761.1508318118679,294.9700012207031,65.69000244140625
105,2022-10-10,Close Position,upper,174.99649932234786,799.1050062948296,285.7200012207031,62.56999969482422
106,2022-10-12,Open Position,lower,174.73353509169618,783.9448252894936,286.1499938964844,63.779998779296875
107,2022-10-13,Close Position,lower,169.64104518100982,766.8712015384231,294.739990234375,65.19999694824219
108,2022-10-19,Open Position,upper,166.76117212828845,754.1477782582749,299.8299865722656,66.30000305175781
109,2022-10-31,Close Position,upper,156.98587127158555,640.4508799212258,318.5,78.06999969482422
110,2022-11-02,Open Position,lower,165.99163334895923,665.6016796042384,301.2200012207031,75.12000274658203
111,2022-11-10,Close Position,lower,151.5381062287304,647.9201916078438,329.95001220703125,77.16999816894531
112,2022-11-11,Open Position,upper,146.56309803473593,643.1695571643736,341.1499938964844,77.73999786376953
113,2022-11-18,Close Position,upper,151.1213268865723,627.116491845122,330.8599853515625,79.7300033569336
114,2022-11-21,Open Position,lower,155.52583756510936,626.4094235926458,321.489990234375,79.81999969482422
115,2022-11-30,Close Position,lower,144.95695086451286,602.1919876562404,344.92999267578125,83.02999877929688
116,2022-12-01,Open Position,upper,145.30238042618012,594.4596318769544,344.1099853515625,84.11000061035156
117,2022-12-06,Close Position,upper,150.98898058753917,633.6332236670363,331.1499938964844,78.91000366210938
118,2022-12-07,Open Position,lower,153.0549807793809,634.6788623350402,326.67999267578125,78.77999877929688
119,2022-12-12,Close Position,lower,147.85462345757279,615.1574895536992,338.1700134277344,81.27999877929688
120,2022-12-13,Open Position,upper,146.00245648420133,620.6554309244295,342.4599914550781,80.55999755859375
121,2022-12-15,Close Position,upper,152.1097663586933,624.4536054773088,328.7099914550781,80.06999969482422
122,2022-12-16,Open Position,upper,147.69303106863174,628.2985530227569,338.5400085449219,79.58000183105469
123,2022-12-19,Close Position,upper,152.08662402597355,621.1180124223603,328.760009765625,80.5
124,2022-12-28,Open Position,lower,152.28581623626684,622.4324518896071,328.3299865722656,80.33000183105469
125,2022-12-29,Close Position,lower,148.11304576344165,614.2506027362158,337.5799865722656,81.4000015258789
126,2023-01-05,Open Position,lower,152.23480583465167,593.0494774982174,328.44000244140625,84.30999755859375
127,2023-01-09,Close Position,lower,146.20737585156382,578.5697877735817,341.9800109863281,86.41999816894531
128,2023-01-19,Open Position,upper,145.97261605754017,581.8012401627509,342.5299987792969,85.94000244140625
129,2023-02-09,Close Position,upper,133.04595493685434,577.0340348472699,375.80999755859375,86.6500015258789
130,2023-02-10,Open Position,lower,134.77452577200862,573.7893085863346,370.989990234375,87.13999938964844
131,2023-03-02,Close Position,lower,149.92503748125938,574.9108807428365,333.5,86.97000122070312
132,2023-03-06,Open Position,upper,144.08391903335027,557.1651570117359,347.0199890136719,89.73999786376953
133,2023-03-10,Close Position,upper,151.837236117467,594.7424786665993,329.29998779296875,84.06999969482422
134,2023-03-13,Open Position,lower,154.19249913346715,588.7201203383596,324.2699890136719,84.93000030517578
135,2023-03-16,Close Position,lower,141.52678759847336,589.4836144764928,353.2900085449219,84.81999969482422
136,2023-03-17,Open Position,upper,139.6102025881741,586.4414584474066,358.1400146484375,85.26000213623047
137,2023-04-03,Close Position,upper,131.55125701545816,532.3679831217514,380.0799865722656,93.91999816894531
